11,-13204.0,tamano_lote 380 porcentaje_reproceso 0.1 porcentaje_scrap 0.07358662108105304 markov 1.0890433564583788 velocidad_m1 20 velocidad_m2 17 velocidad_m3 14 tamano_ordene_1 1640 tamano_ordene_2 1660 tamano_ordene_3 2240 tamano_ordene_4 3800 tamano_ordene_5 4160 tamano_emer_1 800 tamano_emer_2 2620,1,1,0,4932,7862,u_terminadas 15920 scrap 260 tiempo 919 unidades_sobra 1300 maquina_3_parada 291
12,-9789.0,tamano_lote 300 porcentaje_reproceso 0.1 porcentaje_scrap 0.07181925544504576 markov 1.0867193012120075 velocidad_m1 20 velocidad_m2 23 velocidad_m3 14 tamano_ordene_1 1620 tamano_ordene_2 2420 tamano_ordene_3 2620 tamano_ordene_4 3020 tamano_ordene_5 3580 tamano_emer_1 880 tamano_emer_2 3360,1,0,0,3915,1994,u_terminadas 13560 scrap 120 tiempo 758 unidades_sobra 60 maquina_3_parada 221
13,-16939.0,tamano_lote 320 porcentaje_reproceso 0.1 porcentaje_scrap 0.05675498373255799 markov 1.0673054481647333 velocidad_m1 19 velocidad_m2 22 velocidad_m3 13 tamano_ordene_1 2400 tamano_ordene_2 2800 tamano_ordene_3 3540 tamano_ordene_4 4520 tamano_ordene_5 4520 tamano_emer_1 1040 tamano_emer_2 1260,0,0,0,8001,38,u_terminadas 13320 scrap 120 tiempo 676 unidades_sobra 60 maquina_3_parada 201
14,-45027.0,tamano_lote 500 porcentaje_reproceso 0.1 porcentaje_scrap 0.05071324977330643 markov 1.0597127528008297 velocidad_m1 17 velocidad_m2 19 velocidad_m3 11 tamano_ordene_1 1360 tamano_ordene_2 1500 tamano_ordene_3 1960 tamano_ordene_4 2160 tamano_ordene_5 3960 tamano_emer_1 860 tamano_emer_2 1800,0,1,0,4069,2272,u_terminadas 18820 scrap 180 tiempo 1105 unidades_sobra 0 maquina_3_parada 335
15,-3713.0,tamano_lote 560 porcentaje_reproceso 0.1 porcentaje_scrap 0.0736779696149924 markov 1.0891637484004433 velocidad_m1 15 velocidad_m2 23 velocidad_m3 12 tamano_ordene_1 1700 tamano_ordene_2 1900 tamano_ordene_3 2820 tamano_ordene_4 3260 tamano_ordene_5 3500 tamano_emer_1 720 tamano_emer_2 3280,0,1,1,474,7715,u_terminadas 13620 scrap 160 tiempo 799 unidades_sobra 20 maquina_3_parada 363
16,-7603.0,tamano_lote 540 porcentaje_reproceso 0.1 porcentaje_scrap 0.06933051914981092 markov 1.083463424079155 velocidad_m1 21 velocidad_m2 15 velocidad_m3 11 tamano_ordene_1 2000 tamano_ordene_2 2080 tamano_ordene_3 2220 tamano_ordene_4 2280 tamano_ordene_5 2300 tamano_emer_1 720 tamano_emer_2 4480,0,1,0,2312,7819,u_terminadas 13940 scrap 140 tiempo 925 unidades_sobra 40 maquina_3_parada 383
17,-33483.0,tamano_lote 520 porcentaje_reproceso 0.1 porcentaje_scrap 0.06940484172300632 markov 1.0835603735843842 velocidad_m1 19 velocidad_m2 21 velocidad_m3 11 tamano_ordene_1 1580 tamano_ordene_2 2480 tamano_ordene_3 3580 tamano_ordene_4 3680 tamano_ordene_5 3920 tamano_emer_1 600 tamano_emer_2 3800,1,0,0,2644,497,u_terminadas 9660 scrap 40 tiempo 636 unidades_sobra -1220 maquina_3_parada 271
18,-46333.99999999999,tamano_lote 560 porcentaje_reproceso 0.1 porcentaje_scrap 0.055486259662440245 markov 1.0657020211894503 velocidad_m1 22 velocidad_m2 23 velocidad_m3 13 tamano_ordene_1 1880 tamano_ordene_2 2240 tamano_ordene_3 2820 tamano_ordene_4 4040 tamano_ordene_5 4100 tamano_emer_1 880 tamano_emer_2 2020,1,1,1,8948,1352,u_terminadas 21800 scrap 220 tiempo 1903 unidades_sobra 2160 maquina_3_parada 971
19,-37611.0,tamano_lote 560 porcentaje_reproceso 0.1 porcentaje_scrap 0.05737659138390672 markov 1.068092804919983 velocidad_m1 23 velocidad_m2 20 velocidad_m3 12 tamano_ordene_1 1460 tamano_ordene_2 2740 tamano_ordene_3 3080 tamano_ordene_4 3940 tamano_ordene_5 4080 tamano_emer_1 940 tamano_emer_2 1260,0,0,1,558,4879,u_terminadas 17060 scrap 220 tiempo 932 unidades_sobra -40 maquina_3_parada 322
20,-46556.0,tamano_lote 480 porcentaje_reproceso 0.1 porcentaje_scrap 0.07376898866610038 markov 1.0892837325810427 velocidad_m1 18 velocidad_m2 22 velocidad_m3 14 tamano_ordene_1 1320 tamano_ordene_2 2340 tamano_ordene_3 2340 tamano_ordene_4 3020 tamano_ordene_5 4120 tamano_emer_1 640 tamano_emer_2 3160,0,0,0,7230,370,u_terminadas 14860 scrap 220 tiempo 786 unidades_sobra -440 maquina_3_parada 304
